Timestamp,Username,IP_Address,Status,Bytes_Transferred,Country,Device_Type,MFA_Triggered
2026-06-10 08:00:00,admin,192.168.1.50,Success,4500,US,Desktop,Yes
2026-06-10 08:05:00,user1,10.0.0.12,Success,1200,CA,Mobile,Yes
2026-06-10 08:12:00,unknown,45.33.22.11,Failed,0,RU,Server,No
2026-06-10 08:15:00,user2,10.0.0.15,Success,3100,US,Desktop,Yes
2026-06-10 08:16:00,unknown,45.33.22.11,Failed,0,RU,Server,No
2026-06-10 08:22:00,admin,192.168.1.50,Success,8900,US,Desktop,Yes
2026-06-10 08:30:00,unknown,45.33.22.11,Failed,0,RU,Server,No
2026-06-10 08:32:00,user1,185.220.101.5,Failed,0,DE,Desktop,No
2026-06-10 08:35:00,user1,185.220.101.5,Failed,0,DE,Desktop,No
2026-06-10 08:41:00,hr_mgr,192.168.1.72,Success,15400,US,Desktop,Yes
2026-06-10 08:42:00,user1,185.220.101.5,Success,2200,DE,Desktop,Yes
2026-06-10 08:50:00,ceo_exec,91.211.88.3,Failed,0,CN,Tablet,No
